N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
59,삼성에피스홀딩스,511000,하락41000,-7.43%,2500,127152,24883,7.22,65333,-65.49,N/A
60,하이브,290500,하락53500,-15.55%,500,125112,43068,21.43,931451,-51.21,-7.33
61,DB손해보험,176800,하락9900,-5.30%,500,122671,69384,43.32,163463,7.85,18.98
62,에이피알,324500,하락35000,-9.74%,100,121487,37438,35.04,496457,52.32,41.34
63,S-Oil,106000,하락5800,-5.19%,2500,119338,112583,75.70,579648,-68.74,-2.18
64,삼성에스디에스,152400,하락10200,-6.27%,500,117924,77378,21.72,158770,15.53,7.89
65,한국금융지주,211000,하락23500,-10.02%,5000,117582,55726,34.93,322856,7.31,11.54
66,NH투자증권,32700,하락2900,-8.15%,5000,116525,356344,12.57,1125405,13.34,8.73
67,키움증권,415000,하락45500,-9.88%,5000,112515,27112,28.87,149478,11.37,15.98
68,카카오뱅크,23500,하락1600,-6.37%,5000,112105,477044,15.96,1125966,24.40,6.95
69,현대오토에버,395000,하락35500,-8.25%,500,108325,27424,1.80,89074,60.28,10.40
70,크래프톤,228000,하락7500,-3.18%,100,108082,47405,41.73,114729,14.77,10.60
71,대한항공,24300,하락2050,-7.78%,5000,89478,368221,19.08,3137328,11.51,7.28
72,현대차2우B,248500,하락16000,-6.05%,5000,86885,34964,55.98,217038,7.03,N/A
73,삼양식품,1137000,하락14000,-1.22%,5000,85650,7533,15.67,66849,23.15,39.37
74,LS,273500,하락30000,-9.88%,5000,85332,31200,20.17,302571,32.34,5.09
75,이수페타시스,115500,하락11300,-8.91%,1000,84788,73409,26.38,974251,58.63,24.92
76,삼성증권,94200,하락8100,-7.92%,5000,84121,89300,27.21,482927,8.95,12.89
77,KODEX CD금리액티브(합성),1075030,상승80,+0.01%,0,81740,7604,0.05,279800,N/A,N/A
78,한화,108600,하락12100,-10.02%,5000,81405,74959,18.11,381928,27.57,7.19
79,카카오페이,59500,하락4800,-7.47%,500,80458,135224,28.27,460659,177.61,2.41
80,한화솔루션,46500,하락5200,-10.06%,5000,79930,171893,14.77,4901673,-12.47,-7.01
81,TIGER 반도체TOP10,32430,하락1775,-5.19%,0,79778,246000,0.23,22784589,N/A,N/A
82,아모레퍼시픽,136000,하락4800,-3.41%,500,79550,58493,26.08,218412,N/A,11.69
83,한진칼,118800,하락11200,-8.62%,2500,79314,66762,20.38,191327,45.17,16.75
84,KODEX 미국S&P500,22260,하락245,-1.09%,0,78711,353600,0.04,16558026,N/A,N/A
85,TIGER 미국나스닥100,159400,하락2445,-1.51%,0,78457,49220,0.21,1210775,N/A,N/A
86,HD현대마린솔루션,169800,하락12900,-7.06%,500,76124,44831,30.29,79383,28.24,33.73
87,KODEX 머니마켓액티브,103880,상승5,0.00%,0,75178,72370,0.50,725323,N/A,N/A
88,유한양행,93500,하락6800,-6.78%,1000,74470,79648,19.17,274811,39.14,8.81
89,TIGER 200,81070,하락5540,-6.40%,0,72314,89200,8.22,8972066,N/A,N/A
90,SK바이오팜,91200,하락7400,-7.51%,500,71422,78313,13.33,212536,26.75,39.28
91,대우건설,17060,하락2050,-10.73%,5000,70905,415623,11.52,37010025,-7.77,-23.89
92,삼성E&A,35950,상승650,+1.84%,5000,70462,196000,49.86,6856936,11.41,13.76
93,KODEX 코스닥150,19010,하락1080,-5.38%,0,69425,365200,0.70,32033000,N/A,N/A
94,LG이노텍,290000,하락6000,-2.03%,5000,68635,23667,32.37,269547,20.11,6.14
95,삼성카드,59000,하락700,-1.17%,5000,68357,115859,5.56,149796,10.58,7.45
96,한국타이어앤테크놀로지,54200,하락3200,-5.57%,500,67140,123875,38.34,315403,7.06,10.79
97,LG유플러스,15130,하락690,-4.36%,5000,65033,429828,41.78,1008828,12.52,6.01
98,한미약품,501000,하락59000,-10.54%,2500,64183,12811,14.37,108070,55.10,11.89
99,HD건설기계,129300,하락3700,-2.78%,5000,62031,47974,21.33,349202,23.03,6.18
100,한전기술,161100,하락14400,-8.21%,200,61572,38220,14.72,253734,72.11,14.20
